Generation Number,Generation Time,Training Error,Testing Error,Average Size
70,21.264527478881792,0.025381764453145585,0.02610992468721764,12.58
71,21.30468176557047,0.02525217684946983,0.025865372356398585,12.74
72,21.300822964781823,0.02522156528946752,0.02589414146671257,12.8
73,21.369643916804517,0.02516347934240383,0.025839671969428036,13.26
74,21.346212337298358,0.025136095084316624,0.025834595997763908,13.64
75,21.38462590815117,0.025109980737342937,0.0257857035798301,13.92
76,21.39672011154326,0.0249409828712018,0.0257377258351322,14.12
77,21.471472502900333,0.024841073088264533,0.025602114574600834,14.44
78,21.47288525208974,0.024795902385248866,0.02547995557137214,14.78
79,21.473395288978132,0.024722324706366924,0.0253658331228929,14.96
80,21.55281860798345,0.024669814167134086,0.025362414119711442,15.18
81,21.55594843335318,0.024645671670827943,0.025351358179286715,15.62
82,21.60765563644319,0.024615340488618225,0.025414443517952814,15.96
83,21.610846425123537,0.024582437749687346,0.025304348689420837,16.32
84,21.626729950487043,0.02454053727673219,0.025204717303542453,16.44
85,21.65936223047135,0.024519885097538437,0.025188933844327712,16.7
86,21.68520250376303,0.02442353101648842,0.025270072432798135,17.02
87,21.7241663324875,0.024388521179259666,0.025259957828267444,17.3
88,21.681403311542216,0.024386098247878428,0.02526425504500253,17.46
89,21.76802031768719,0.024224856603369052,0.0250170273997979,17.7
90,21.780337102601692,0.02420217788217102,0.025019256714080087,18.04
91,21.790561275093836,0.024159782958147212,0.025017710415340046,18.46
92,21.89040510998761,0.024134273831003347,0.025008602739695993,19.28
93,21.861453459698197,0.02411335933269235,0.024910899389317852,19.12
94,21.87467245030634,0.024093962101739756,0.02485345884328249,19.22
95,21.911271585835802,0.024069763069052636,0.024779108174617596,19.6
96,21.948787043674837,0.024053285757454527,0.02472588888550211,19.68
97,21.95550608793771,0.024027425690654403,0.024856775416205554,19.82
98,21.963386332323,0.024006697383002634,0.024810918980690464,20.24
99,21.984226254122536,0.023972141777053466,0.02489182354276036,20.6
100,22.103556579896452,0.02394239823407202,0.02479235475713639,20.82
101,22.079804262819362,0.023865516057089784,0.024784224975401458,20.86
102,22.083830510625365,0.023858307370779704,0.02482364766004057,21.12
103,22.135700214225643,0.023835041277719404,0.02474780702418118,21.66
104,22.156829281968157,0.023822745830835802,0.02465361837720028,21.84
105,22.12602069849275,0.02381468632807127,0.02465462084442059,21.84
106,22.29835937555829,0.02379649589973249,0.024598725367146294,22.34
107,22.266104009318177,0.023771831456457823,0.02456799697731336,22.38
108,22.20214948304798,0.02375144678524385,0.024678038364585674,22.48
109,22.242113161215602,0.023732667283662648,0.0246839547061693,22.58
110,22.235590554274477,0.02371427943635129,0.02467397209570949,22.66
111,22.233892603830164,0.02367018754309272,0.024606923313285817,22.82
112,22.229266467992783,0.023657129218216753,0.024595363848722292,22.62
113,22.29219128361381,0.02363295110534609,0.024596738719002177,22.88
114,22.278373970321592,0.02362409214874707,0.024601532415447838,23.26
115,22.30753746667616,0.02357759274870329,0.024626490968023558,23.52
116,22.303942766215258,0.023547983060055958,0.024685855588353026,23.56
117,22.315852383418033,0.02353673708123833,0.024539098206628075,23.62
118,22.312376900087266,0.023498138439007863,0.024506567088819053,23.84
119,22.324965230708194,0.023490260088229475,0.02448666275967129,23.96
120,22.342243216267807,0.023482792297993264,0.02446937638009957,24.12
121,22.35607032011928,0.023468103080790746,0.02443918120220113,24.08
122,22.368209992687227,0.023464970176371155,0.024455149200952663,24.48
123,22.398094091252823,0.023452209344617093,0.0244914380102917,24.56
124,22.457657967394436,0.023425362564527926,0.02437251654916196,24.92
125,22.447831098058504,0.023404567414090253,0.024323897815400827,24.86
126,22.45503575972962,0.02338731540761807,0.02428701651306367,25.34
127,22.4994870088686,0.023365735413327746,0.02427415020919639,25.48
128,22.50705551503156,0.023356775376752334,0.02436660284781403,25.8
129,22.55062846564754,0.023343057694536193,0.02419748694574798,25.74
130,22.529270526518175,0.0233341811902532,0.024253691065258397,25.64
